Date,Start Time,Player Name,Stat Type,Line Score,Odds Type,Headshot URL,Data ID,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Line,Edge %,Correlates,Team,Game Short Title,Fav,O/U,Callout Bet Tag,Position
N/A,9/19/2026,Jonathan Bibbs,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/3.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/3.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Josh Derry,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/5.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/5.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Lanear McCrary Jr.,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Lanear_McCrary_NCAAFB_player_sho5gFQsQWdGSNHX8iggARLu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Lanear_McCrary_NCAAFB_player_sho5gFQsQWdGSNHX8iggARLu-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Qwantavius Wiggins,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/24.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/24.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Ric'Darious Farmer,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/6.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/6.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Rodshaun Dorsey,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Savion Hart,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/28.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/28.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Waden Charles,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Keyone Jenkins,Anytime TDs,0.5,goblin,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/12.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Cameran Brown,INT,0.5,goblin,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,57.81,57.81,50,50,1.03,0.5,70.12,38.87,64.34,35.66,14.34,64.34,Over,0.76,0.26,64.3,Yes,,,,,,
N/A,9/19/2026,Cameran Brown,Rush TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Derrick Avery Jr.,Rec TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Derrick_Avery_NCAAFB_player_9x92HmNNptE3UrnGR1rT227H-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Derrick_Avery_NCAAFB_player_9x92HmNNptE3UrnGR1rT227H-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Duke Watson,Rec TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Duke_Watson_NCAAFB_player_FXSI0FPx8rWIM2iG089ETof4-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Duke_Watson_NCAAFB_player_FXSI0FPx8rWIM2iG089ETof4-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Dylan Wade,Rec TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/0.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/0.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Grant Hollier,Rec TDs,0.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Grant_Hollier_NCAAFB_player_VnVF0Iwf1kZ6hUm03if3ukxk-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Grant_Hollier_NCAAFB_player_VnVF0Iwf1kZ6hUm03if3ukxk-450.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Josh Derry,Rec TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/5.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/5.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
