Player + Prop,Player + Prop + Line,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
Sonia CitronPts+Rebs+Asts,Sonia CitronPts+Rebs+Asts24.5,WNBA,238241,Sonia Citron,G,WAS,Pts+Rebs+Asts,24.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Sonia_Citron_WNBA_player_Cu5wEbcQEPoUpdz2rimHwWTl.webp,15045189,24.5,49.62,50.38,-7.43,50.38,Under,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,24.5,,,,No,IND,30.63,33,49.62,50.38,50.38,24.5,14,-0.0825,under,24.5,24.42,24.48,0,Push
Aliyah BostonPts+Rebs,Aliyah BostonPts+Rebs24,WNBA,237853,Aliyah Boston,FC,IND,Pts+Rebs,24,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,15044710,24.08,48.5,51.5,-6.31,51.5,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,24.08,,,,No,SEA,32.79,29,48.5,51.5,51.5,24.08,,0,,24.08,24.08,24.06,0,Push
Caitlin ClarkPoints,Caitlin ClarkPoints21.5,WNBA,237851,Caitlin Clark,G,IND,Points,21.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,15044801,21.88,48.75,51.25,-6.56,51.25,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,21.88,,,,No,SEA,38.52,31,48.36421299,51.63578701,50,21.88,,0,,21.88,21.88,21.73,21.5,Push
Sonia CitronPts+Asts,Sonia CitronPts+Asts20.5,WNBA,238241,Sonia Citron,G,WAS,Pts+Asts,20.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Sonia_Citron_WNBA_player_Cu5wEbcQEPoUpdz2rimHwWTl.webp,15045198,20.5,50.86,49.14,-8.67,50.86,Over,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,20.5,,,,No,IND,30.63,33,50.86,49.14,50.86,20.5,5,-0.0456,under,20.5,20.45,20.49,0,Push
Shakira AustinPts+Asts,Shakira AustinPts+Asts20.5,WNBA,64392,Shakira Austin,C,WAS,Pts+Asts,20.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Shakira_Austin_WNBA_player_MA9Pc3OblxHKTZfe7e7MWhC7.webp,15045202,20.5,49.97,50.03,-7.78,50.03,Under,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,20.5,,,,No,IND,33.72,29,49.97,50.03,50.03,20.5,5,-0.0456,under,20.5,20.45,20.49,0,Push
Sonia CitronPts+Rebs,Sonia CitronPts+Rebs19.5,WNBA,238241,Sonia Citron,G,WAS,Pts+Rebs,19.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Sonia_Citron_WNBA_player_Cu5wEbcQEPoUpdz2rimHwWTl.webp,15046678,19.75,49.35,50.65,-7.16,50.65,Under,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,19.75,,,,No,IND,30.63,33,48.31531579,51.68468421,50,19.75,14,-0.0825,under,19.75,19.67,19.67,0,Push
Aliyah BostonPts+Asts,Aliyah BostonPts+Asts18.5,WNBA,237853,Aliyah Boston,FC,IND,Pts+Asts,18.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,15044768,18.5,50.48,49.52,-5.27,50.48,Over,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,18.5,,,,No,SEA,32.79,29,50.48,49.52,50.48,18.5,,0,,18.5,18.5,18.5,0,Push
Aliyah Boston + Kiki IriafenRebounds(Combo),Aliyah Boston + Kiki IriafenRebounds(Combo)18,WNBA,318186,Aliyah Boston + Kiki Iriafen,FC,IND/WAS,Rebounds (Combo),18,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_vbKyz6VIEXQhNGSHnBVEkPXH.webp,15058743,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,18,0,Push
Shakira AustinPoints,Shakira AustinPoints17.5,WNBA,64392,Shakira Austin,C,WAS,Points,17.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Shakira_Austin_WNBA_player_MA9Pc3OblxHKTZfe7e7MWhC7.webp,15045215,17.5,49.67,50.33,-7.48,50.33,Under,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,17.5,,,,No,IND,33.72,29,49.67,50.33,50.33,17.5,7,0.1628,over,17.5,17.66,17.53,17.5,Great Bet
Aliyah Boston + Shakira AustinRebounds(Combo),Aliyah Boston + Shakira AustinRebounds(Combo)17.5,WNBA,346355,Aliyah Boston + Shakira Austin,FC,IND/WAS,Rebounds (Combo),17.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_gsHXEA9mvaeErcgHAOLk3hI3.webp,15058742,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,17.5,0,Push
