Date,Start Time,Player Name,Stat Type,Line Score,Odds Type,Headshot URL,Data ID,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Line,Edge %,Correlates,Team,Game Short Title,Fav,O/U,Callout Bet Tag,Position
N/A,9/20/2026,Tyler Shough,Pass+Rush Yds,224.5,goblin,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,301.77,261,57.81,57.81,50,50,0,50,Over,261,36.5,83.29,Yes,,,,,,
N/A,9/20/2026,Tyler Shough,Pass+Rush Yds,199.5,goblin,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,301.77,261,57.81,57.81,50,50,0,50,Over,261,61.5,89.94,Yes,,,,,,
N/A,9/20/2026,Lamar Jackson,Pass+Rush Yds,199.5,goblin,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,301.05,264.5,56.91,57.27,49.83,50.17,-0.17,49.83,Over,264.33,64.83,89.78,Yes,,,,,,
N/A,9/20/2026,Chris Olave,Receiving Yards,139.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,57.81,57.81,50,50,75.5,75,57.81,57.81,50,50,0,50,Over,75,-64.5,5.48,No,,,,,,
N/A,9/20/2026,Mark Andrews,Receiving Yards,109.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,57.81,57.81,50,50,50.5,50.5,55.91,55.91,50,50,0,50,Over,50.5,-59,7.01,No,,,,,,
N/A,9/20/2026,Chris Olave,Receiving Yards,89.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,57.81,57.81,50,50,75.5,75,57.81,57.81,50,50,0,50,Over,75,-14.5,36.32,No,,,,,,
N/A,9/20/2026,Derrick Henry,Rush Yards,84.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/22.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/22.webp,57.81,57.81,50,50,83.5,83.83,56.72,56.72,50,50,0,50,Under,83.83,-0.67,50.8,Yes,,,,,,
N/A,9/20/2026,Devaughn Vele,Receiving Yards,79.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/14.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/14.webp,57.81,57.81,50,50,31.5,35.17,51.36,61.92,45.14,54.86,-4.86,45.14,Over,35.17,-44.33,11.51,No,,,,,,
N/A,9/20/2026,Juwan Johnson,Receiving Yards,79.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/83.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/83.webp,57.81,57.81,50,50,29.5,29.5,56.72,56.72,50,50,0,50,Over,29.5,-50,10.56,No,,,,,,
N/A,9/20/2026,Mark Andrews,Receiving Yards,79.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,57.81,57.81,50,50,50.5,50.5,55.91,55.91,50,50,0,50,Over,50.5,-29,23.42,No,,,,,,
N/A,9/20/2026,Chris Olave,Receiving Yards,79.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,57.81,57.81,50,50,75.5,75,57.81,57.81,50,50,0,50,Over,75,-4.5,46.02,No,,,,,,
N/A,9/20/2026,Chris Olave,Receiving Yards,75.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,57.81,57.81,50,50,75.5,75,57.81,57.81,50,50,0,50,Under,75,-0.5,50,Yes,,,,,,
N/A,9/20/2026,Mark Andrews,Receiving Yards,69.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,57.81,57.81,50,50,50.5,50.5,55.91,55.91,50,50,0,50,Over,50.5,-19,31.74,No,,,,,,
N/A,9/20/2026,Chris Olave,Receiving Yards,69.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,57.81,57.81,50,50,75.5,75,57.81,57.81,50,50,0,50,Over,75,5.5,55.96,Yes,,,,,,
N/A,9/20/2026,Tyler Shough,Longest Completion,69.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,69.5,,,,,,,,,,,50,,,,,,,
